e1m_pad	e1m_function	alif_peripheral	alif_pad
A3	PWM6	UT3_T1_C	P10_7
A4	PWM4	UT6_T1_C	P11_5
A5	PWM2	UT10_T1_A	P2_5
A6	PWM0	UT11_T1_C	P12_7
A7	ENC3_X	QEC3_X_A	P4_1/JTAG0_TDATA1
A8	ENC2_X	QEC2_X_C	P13_6
A9	ENC1_X	QEC1_X_A	P3_3
A10	ENC0_X	QEC0_X_A	P3_0
A12	ANA_S6	ANA_S14	P1_6
A13	ANA_S4	ANA_S6	P0_6
A14	ANA_S2	ANA_S2	P0_2
A15	ANA_S0	ANA_S0	P0_0
A16	DAC0	DAC_0	P2_2
A19	CAN_STBY	CAN_STBY_A	P7_3/SCP3_A
A31	BL_LED_A	UT2_T1_B	P5_5
AA1	PDM_C0	PDM_C0_C	P6_1
AA2	PDM_D0	PDM_D0_C	P6_0
AA32	CAM_D5	CAM_D4	P8_4
AB1	PDM_C1	PDM_C2_B	P11_4
AB2	PDM_D1	PDM_D2_B	P5_4
AB32	CAM_D6	CAM_D5	P8_5/JTAG1_TCK
AC32	CAM_D7	CAM_D6	P8_6/JTAG1_TMS
AD2	I2C0_SDA	I2C2_SDA_C	P5_7
AD32	CAM_D8	CAM_D7	P8_7/JTAG1_TDI
AD33	I2S0_SDI	I2S3_SDI_A	P9_2
AD34	I2S0_SDO	I2S3_SDO_A	P9_3/HFXO_OUT_B
AE2	I2C0_SCL	I2C2_SCL_C	P5_6
AE33	I2S0_SCLK	I2S3_SCLK_A	P9_4
AE34	I2S0_WS	I2S3_WS_A	P9_5
AG2	IO3	GPIO	P3.2
AG4	UART1_TX	UART3_TX_A	P1_3
AG5	I3C_SCL	I3C_SCL_D	P7_7_FLEX/SCP3_C
AG6	I2S1_SDO	LPI2S_SDO_C	P13_5
AG7	I2S1_WS	LPI2S_WS_A	P2_7
AG11	SD_CLK	SD_CLK	P14_1
AG12	SD_D0	SD_D0	P13_0
AG13	SD_D2	SD_D2	P13_2
AG14	SD_DET	SD_DET	P14_3
AG16	IO4	GPIO	P4.3
AG17	I2C1_SCL	I2C1_SCL_B	P3_7/JTAG0_TRACECLK
AG18	IO6		P9.7
AG34	IO7		P4.0
AH4	UART1_RX	UART3_RX_A	P1_2
AH5	I3C_SDA	I3C_SDA_D	P7_6_FLEX/SCP2_C
AH6	I2S1_SDI	LPI2S_SDI_C	P13_4
AH7	I2S1_SCLK	LPI2S_SCLK_A	P2_6
AH11	SD_CMD	SD_CMD	P14_0
AH12	SD_RST	SD_RST	P14_2
AH13	SD_D1	SD_D1	P13_1
AH14	SD_D3	SD_D3	P13_3
AH17	I2C1_SDA	I2C1_SDA_C	P7_2/SCP2_A
AH18	IO5		P14.7
B3	PWM7	UT3_T0_C	P10_6
B4	PWM5	UT6_T0_A	P1_4
B5	PWM3	UT10_T0_A	P2_4
B6	PWM1	UT11_T0_C	P12_6
B7	ENC3_Y	QEC3_Y_A	P4_2/JTAG0_TDATA2
B8	ENC2_Y	QEC2_Y_C	P13_7
B9	ENC1_Y	QEC1_Y_B	P9_0/JTAG1_TDO
B10	ENC0_Y	QEC0_Y_A	P3_1
B12	ANA_S7	ANA_S15	P1_7
B13	ANA_S5	ANA_S8	P1_0
B14	ANA_S3	ANA_S3	P0_3
B15	ANA_S1	ANA_S1	P0_1
B16	DAC1	DAC_1	P2_3
B18	CAN0H/CAN0_TX	CAN_TXD_B	P0_5
B19	CAN0L/CAN0_RX	CAN_RXD_B	P0_4
F2	UART0_TX	UART5_TX_A	P3_5
G2	UART0_RX	UART5_RX_A	P3_4
L1	SPI0_MISO	SPI0_MISO_B	P5_0
L2	IO0		P7.0
M1	SPI0_CS0	SPI0_SS0_C	P5_2
M2	SPI0_MOSI	SPI0_MOSI_B	P5_1
N1	SPI0_CS1	SPI0_SS2_B	P3_6/HFXO_OUT_A
W2	IO2	GPIO	P12.5
X1	JTAG_TCK/SWDCLK	JTAG_TCK/SWDCLK	P4_4/JTAG0_TCK
X2	JTAG_TDI	JTAG_TDI	P4_6/JTAG0_TDI
Y1	JTAG_TMS/SWDIO	JTAG_TMS/SWDIO	P4_5/JTAG0_TMS
Y2	JTAG_TDO	JTAG_TDO	P4_7/JTAG0_TDO
Z2	AUDIO_CLK	AUDIO_CLK_B	P9_6
