row,peripheral,gd32_pad
1,GD32_SWDIO,PA13
2,GD32_SWCLK,PA14
3,GD32_SPI.SCLK,PA9
4,GD32_SPI.MOSI,PB15
5,GD32_SPI.MISO,PA10
6,GD32_SPI.CS0,PA8
7,BRD_I2C.SDA,PB9
8,BRD_I2C.SCL,PA15
9,E1M I2C3.SCL,PC8
10,E1M I2C3.SDA,PC9
11,E1M ENC0_X,PA0
12,E1M ENC0_Y,PB3
13,E1M ENC1_X,PC6
14,E1M ENC1_Y,PC7
15,E1M ENC2_X,PB6
16,E1M ENC2_Y,PB7
17,E1M ENC3_X,PB2
18,E1M ENC3_Y,PA1
19,E1M PWM0,PA11
20,E1M PWM1,PB1
21,E1M PWM2,PB14
22,E1M PWM3,PC5
23,E1M PWM4,PC10
24,E1M PWM5,PC11
25,E1M PWM6,PC12
26,E1M PWM7,PD0
27,E1M ADC0,PD9
28,E1M ADC1,PB12
29,E1M ADC2,PE13
30,E1M ADC3,PE11
31,E1M ADC4,PC4
32,E1M ADC5,PA5
33,E1M ADC6,PA2
34,E1M ADC7,PA3
35,E1M DAC0,PA4
36,E1M DAC1,PA6
37,E1M CAN_STBY,PB13
38,CAM_EN_LDO0,PC3
39,CAM_EN_LDO1,PE8
40,CAM_EN_LDO2,PE7
41,CAM_EN_LDO3,PE10
42,BT_REG_ON,PE14
43,WL_REG_ON,PE15
44,SE_RST,PC13
45,E1M IO8,PB10
46,E1M IO9,PA7
47,E1M IO10,PA12
48,E1M IO11,PB0
49,E1M IO12,PC1
50,E1M IO13,PF1
51,E1M IO14,PB5
52,E1M IO16,PC0
53,E1M IO24,PC14
54,E1M IO25,PC15
55,E1M IO27,PB11
56,E1M IO28,PC2
57,E1M IO29,PD11
58,E1M IO30,PD10
59,E1M IO31,PE12
60,E1M IO32,PD2
61,E1M IO34,PD8
62,E1M IO35,PD1
