row,peripheral,renesas_pad
1,µSD1_V_SEL,PA2
2,Audio_CLKB,P10
3,Audio_CLKB_OE,P67
4,Audio_CLKC,P11
5,BL_PWM,PA5
6,BT_HOST_WAKE,P05
7,BT_I2S.CLK,P73
8,BT_I2S.DI,P83
9,BT_I2S.DO,P81
10,BT_I2S.WS,P82
11,BT_UART.CTS,P43
12,BT_UART.RTS,P42
13,BT_UART.RXD,P40
14,BT_UART.TXD,P41
15,CANFD2_CRX2,P85
16,CANFD2_CTX2,P84
17,CANFD3_CRX3,P87
18,CANFD3_CTX3,P86
19,DA9292_INT,P37
20,DA9292_TW,P36
21,DEEPX_CORE_0P75_EN,P64
22,DEEPX_PWR_EN_REQ,P65
23,eMMC_V_SEL,PA0
24,ET0_MDC,K27
25,ET0_MDIO,J29
26,ET0_PHY_INTR,M27
27,ET0_RXC_RXCLK,K25
28,ET0_RXCTL_RXDV,L24
29,ET0_RXD0,L27
30,ET0_RXD1,N28
31,ET0_RXD2,N29
32,ET0_RXD3,M29
33,ET0_TXC_TXCLK,L25
34,ET0_TXCTL_TXEN,J26
35,ET0_TXD0,M25
36,ET0_TXD1,M26
37,ET0_TXD2,K29
38,ET0_TXD3,M24
39,ET1_MDC,N25
40,ET1_MDIO,P29
41,ET1_PHY_INTR,T29
42,ET1_RXC_RXCLK,P24
43,ET1_RXCTL_RXDV,N26
44,ET1_RXD0,T27
45,ET1_RXD1,T25
46,ET1_RXD2,U29
47,ET1_RXD3,T26
48,ET1_TXC_TXCLK,P25
49,ET1_TXCTL_TXEN,N27
50,ET1_TXD0,R28
51,ET1_TXD1,R24
52,ET1_TXD2,T28
53,ET1_TXD3,R26
54,GD32_SPI.CS0,P97
55,GD32_SPI.MISO,P77
56,GD32_SPI.MOSI,P76
57,GD32_SPI.SCLK,P96
58,GD32_SWDIO,P70
59,GD32_SWDCLK,P71
60,GD32_NRST,P74
61,I3C_SCL30,P21
62,I3C_SDA30,P20
63,PDM0_PDMCLK00,P01
64,PDM0_PDMCLK01,P03
65,PDM0_PDMDAT00,P00
66,PDM0_PDMDAT01,P02
67,RIIC0_SCL0,P31
68,RIIC0_SDA0,P30
69,RIIC1_SCL1,P33
70,RIIC1_SDA1,P32
71,RIIC2_SCL2,P35
72,RIIC2_SDA2,P34
73,RIIC8_SCL8,P07
74,RIIC8_SDA8,P06
75,RSPI0_MISOA,P91
76,RSPI0_MOSIA,P90
77,RSPI0_RSPCKA,P92
78,RSPI0_SSLA0,P93
79,RSPI0_SSLA1,P94
80,RTC_ALARM,PA7
81,SCI_SPI2_MISOB,P55
82,SCI_SPI2_MOSIB,P54
83,SCI_SPI2_RSPCKB,P56
84,SCI_SPI2_SSLB0,P57
85,SCI_SPI2_SSLB1,P14
86,SCI_SPI3_MISOC,P63
87,SCI_SPI3_MOSIC,P62
88,SCI_SPI3_RSPCKC,P66
89,SCI_SPI3_SSLC2,P60
90,SCI_SPI3_SSLC3,P61
91,SD0CLK,AC27
92,SD0CMD,AC23
93,SD0DAT0,AB24
94,SD0DAT1,AB23
95,SD0DAT2,AB26
96,SD0DAT3,AC28
97,SD0DAT4,AC29
98,SD0DAT5,AB27
99,SD0DAT6,AD24
100,SD0DAT7,AC25
101,SD0RSTN,AB25
102,SD1CLK,AD27
103,SD1CMD,AD26
104,SD1DAT0,AD28
105,SD1DAT1,AE26
106,SD1DAT2,AD25
107,SD1DAT3,AE27
108,SD1_SD1CD,PA1
109,SD1_SD1PWEN,PA3
110,SDCARD_RST,PA4
111,SSIU1_SSI1_SCK,P44
112,SSIU1_SSI1_SDATA,P46
113,SSIU1_SSI1_WS,P45
114,SSIU2_SSI2_SDATA,P47
115,SSIU3_SSI3_SCK,P12
116,SSIU3_SSI3_SDATA,P04
117,SSIU3_SSI3_WS,P13
118,SSIU4_SSI4_SDATA,P15
119,UART0_RXD0,P51
120,UART0_TXD0,P50
121,UART1_RXD1,P53
122,UART1_TXD1,P52
123,WIFI_SDIO.CLK,PB0
124,WIFI_SDIO.CMD,PB5
125,WIFI_SDIO.D0,PB1
126,WIFI_SDIO.D1,PB2
127,WIFI_SDIO.D2,PB3
128,WIFI_SDIO.D3,PB4
129,WL_HOST_WAKE,P72
130,XSPI0_CKN,AH19
131,XSPI0_CKP,AJ19
132,XSPI0_CS0N,AD19
133,XSPI0_DS,AF19
134,XSPI0_ECS0N,AJ18
135,XSPI0_INT0N,AJ17
136,XSPI0_IO0,AH20
137,XSPI0_IO1,AG18
138,XSPI0_IO2,AD18
139,XSPI0_IO3,AG19
140,XSPI0_IO4,AE18
141,XSPI0_IO5,AJ20
142,XSPI0_IO6,AC19
143,XSPI0_IO7,AC18
144,XSPI0_RESET0N,AF18
145,XSPI0_RSTO0N,AH18
