peripheral	renesas_pad
µSD1_V_SEL	PA2
Audio_CLKB	P10
Audio_CLKB_OE	P67
Audio_CLKC	P11
BL_PWM	PA5
BT_HOST_WAKE	P05
BT_I2S.CLK	P73
BT_I2S.DI	P83
BT_I2S.DO	P81
BT_I2S.WS	P82
BT_UART.CTS	P43
BT_UART.RTS	P42
BT_UART.RXD	P40
BT_UART.TXD	P41
CANFD2_CRX2	P85
CANFD2_CTX2	P84
CANFD3_CRX3	P87
CANFD3_CTX3	P86
DA9292_INT	P37
DA9292_TW	P36
eMMC_V_SEL	PA0
ET0_MDC	K27
ET0_MDIO	J29
ET0_PHY_INTR	M27
ET0_RXC_RXCLK	K25
ET0_RXCTL_RXDV	L24
ET0_RXD0	L27
ET0_RXD1	N28
ET0_RXD2	N29
ET0_RXD3	M29
ET0_TXC_TXCLK	L25
ET0_TXCTL_TXEN	J26
ET0_TXD0	M25
ET0_TXD1	M26
ET0_TXD2	K29
ET0_TXD3	M24
ET1_MDC	N25
ET1_MDIO	P29
ET1_PHY_INTR	T29
ET1_RXC_RXCLK	P24
ET1_RXCTL_RXDV	N26
ET1_RXD0	T27
ET1_RXD1	T25
ET1_RXD2	U29
ET1_RXD3	T26
ET1_TXC_TXCLK	P25
ET1_TXCTL_TXEN	N27
ET1_TXD0	R28
ET1_TXD1	R24
ET1_TXD2	T28
ET1_TXD3	R26
GD32_SPI.CS0	P97
GD32_SPI.MISO	P77
GD32_SPI.MOSI	P76
GD32_SPI.SCLK	P96
GPT0_GTIOC0A	P70
GPT0_GTIOC0B	P71
GPT13_GTIOC13A	P64
GPT13_GTIOC13B	P65
GD32_NRST	P74
GD32_BOOT0	P75
I3C_SCL30	P21
I3C_SDA30	P20
PDM0_PDMCLK00	P01
PDM0_PDMCLK01	P03
PDM0_PDMDAT00	P00
PDM0_PDMDAT01	P02
RIIC0_SCL0	P31
RIIC0_SDA0	P30
RIIC1_SCL1	P33
RIIC1_SDA1	P32
RIIC2_SCL2	P35
RIIC2_SDA2	P34
RIIC8_SCL8	P07
RIIC8_SDA8	P06
RSPI0_MISOA	P91
RSPI0_MOSIA	P90
RSPI0_RSPCKA	P92
RSPI0_SSLA0	P93
RSPI0_SSLA1	P94
RTC_ALARM	PA7
SCI_SPI2_MISOB	P55
SCI_SPI2_MOSIB	P54
SCI_SPI2_RSPCKB	P56
SCI_SPI2_SSLB0	P57
SCI_SPI2_SSLB1	P14
SCI_SPI3_MISOC	P63
SCI_SPI3_MOSIC	P62
SCI_SPI3_RSPCKC	P66
SCI_SPI3_SSLC2	P60
SCI_SPI3_SSLC3	P61
SD0CLK	AC27
SD0CMD	AC23
SD0DAT0	AB24
SD0DAT1	AB23
SD0DAT2	AB26
SD0DAT3	AC28
SD0DAT4	AC29
SD0DAT5	AB27
SD0DAT6	AD24
SD0DAT7	AC25
SD0RSTN	AB25
SD1CLK	AD27
SD1CMD	AD26
SD1DAT0	AD28
SD1DAT1	AE26
SD1DAT2	AD25
SD1DAT3	AE27
SD1_SD1CD	PA1
SD1_SD1PWEN	PA3
SDCARD_RST	PA4
SSIU1_SSI1_SCK	P44
SSIU1_SSI1_SDATA	P46
SSIU1_SSI1_WS	P45
SSIU2_SSI2_SDATA	P47
SSIU3_SSI3_SCK	P12
SSIU3_SSI3_SDATA	P04
SSIU3_SSI3_WS	P13
SSIU4_SSI4_SDATA	P15
UART0_RXD0	P51
UART0_TXD0	P50
UART1_RXD1	P53
UART1_TXD1	P52
WIFI_SDIO.CLK	PB0
WIFI_SDIO.CMD	PB5
WIFI_SDIO.D0	PB1
WIFI_SDIO.D1	PB2
WIFI_SDIO.D2	PB3
WIFI_SDIO.D3	PB4
WL_HOST_WAKE	P72
XSPI0_CKN	AH19
XSPI0_CKP	AJ19
XSPI0_CS0N	AD19
XSPI0_DS	AF19
XSPI0_ECS0N	AJ18
XSPI0_INT0N	AJ17
XSPI0_IO0	AH20
XSPI0_IO1	AG18
XSPI0_IO2	AD18
XSPI0_IO3	AG19
XSPI0_IO4	AE18
XSPI0_IO5	AJ20
XSPI0_IO6	AC19
XSPI0_IO7	AC18
XSPI0_RESET0N	AF18
XSPI0_RSTO0N	AH18
